tid	target_chembl_id	pref_name	tax_id	organism	target_type	uniprot	gene_symbol	prot_fam
100147	CHEMBL4848	Eukaryotic translation initation factor	9606	Homo sapiens	SINGLE PROTEIN	P06730	EIF4E	nuclear_receptor
100148	CHEMBL4457	Neuronal acetylcholine receptor protein alpha-4 subunit	10090	Mus musculus	SINGLE PROTEIN	O70174	CHRNA4	ion channel
100151	CHEMBL4530	Coagulation factor XIII	9606	Homo sapiens	SINGLE PROTEIN	P00488	F13A1	other
100154	CHEMBL5030	ADAM12	9606	Homo sapiens	SINGLE PROTEIN	O43184	ADAM12	other
100155	CHEMBL5028	ADAM10	9606	Homo sapiens	SINGLE PROTEIN	O14672	ADAM10	other
100156	CHEMBL5286	Collagen-binding protein 1	9606	Homo sapiens	SINGLE PROTEIN	P50454	SERPINH1	other
100157	CHEMBL4531	Galectin-3	9606	Homo sapiens	SINGLE PROTEIN	P17931	LGALS3	other
100158	CHEMBL4458	Alkaline phosphatase placental type	9606	Homo sapiens	SINGLE PROTEIN	P05187	ALPP	other
100159	CHEMBL5287	Bile acid transporter	9606	Homo sapiens	SINGLE PROTEIN	Q14973	SLC10A1	other
100160	CHEMBL4459	L-type amino acid transporter 1	9606	Homo sapiens	SINGLE PROTEIN	Q01650	SLC7A5	other
100162	CHEMBL4148	L-type amino acid transporter 3	9606	Homo sapiens	SINGLE PROTEIN	O75387	SLC43A1	other
100163	CHEMBL4149	L-type amino acid transporter 1	10116	Rattus norvegicus	SINGLE PROTEIN	Q63016	SLC7A5	other
100166	CHEMBL4581	Kinesin-like protein 1	9606	Homo sapiens	SINGLE PROTEIN	P52732	KIF11	other
100168	CHEMBL5533	Nuclear factor NF-kappa-B p65 subunit	9606	Homo sapiens	SINGLE PROTEIN	Q04206	RELA	other
100170	CHEMBL4917	Complement C3	9606	Homo sapiens	SINGLE PROTEIN	P01024	C3	other
100186	CHEMBL4683	Fibroblast activation protein alpha	9606	Homo sapiens	SINGLE PROTEIN	Q12884	FAP	other
100190	CHEMBL4684	Mannosyl-oligosaccharide glucosidase	9606	Homo sapiens	SINGLE PROTEIN	Q13724	MOGS	other
100193	CHEMBL4191	Monoglyceride lipase	9606	Homo sapiens	SINGLE PROTEIN	Q99685	MGLL	other
100194	CHEMBL4349	N-acylsphingosine-amidohydrolase	9606	Homo sapiens	SINGLE PROTEIN	Q02083	NAAA	other
100195	CHEMBL5243	Homeobox protein Brn-1	9606	Homo sapiens	SINGLE PROTEIN	P20264	POU3F3	other
100196	CHEMBL4189	Homeobox protein Brn-2	9606	Homo sapiens	SINGLE PROTEIN	P20265	POU3F2	other
100207	CHEMBL4381	Synaptic vesicle protein 2a	10116	Rattus norvegicus	SINGLE PROTEIN	Q02563	SV2A	other
100210	CHEMBL4382	Transcription factor E2F1	9606	Homo sapiens	SINGLE PROTEIN	Q01094	E2F1	other
100217	CHEMBL4625	Apoptosis regulator Bcl-X	9606	Homo sapiens	SINGLE PROTEIN	Q07817	BCL2L1	ion channel
100220	CHEMBL4229	Hydroxyacid oxidase 1	9606	Homo sapiens	SINGLE PROTEIN	Q9UJM8	HAO1	other
100226	CHEMBL4411	Prostaglandin E synthase 2	9606	Homo sapiens	SINGLE PROTEIN	Q9H7Z7	PTGES2	other
100227	CHEMBL4528	Hyaluronidase-1	9606	Homo sapiens	SINGLE PROTEIN	Q12794	HYAL1	other
100240	CHEMBL4604	Equilibrative nucleoside transporter 1	10116	Rattus norvegicus	SINGLE PROTEIN	O54698	SLC29A1	other
100241	CHEMBL3698	Prion protein	10090	Mus musculus	SINGLE PROTEIN	P04925	PRNP	other
100267	CHEMBL612409	Anti-estrogen binding site (AEBS)	9606	Homo sapiens	PROTEIN COMPLEX	Q15125	EBP	other
100267	CHEMBL612409	Anti-estrogen binding site (AEBS)	9606	Homo sapiens	PROTEIN COMPLEX	Q9UBM7	DHCR7	other
100282	CHEMBL4300	S-100 protein beta chain	9606	Homo sapiens	SINGLE PROTEIN	P04271	S100B	other
100287	CHEMBL4755	Calcitonin gene-related peptide type 1 receptor	10116	Rattus norvegicus	SINGLE PROTEIN	Q63118	CALCRL	other
100290	CHEMBL4383	Gastric inhibitory polypeptide receptor	9606	Homo sapiens	SINGLE PROTEIN	P48546	GIPR	other
100293	CHEMBL4580	Thymidine kinase, mitochondrial	9606	Homo sapiens	SINGLE PROTEIN	O00142	TK2	other
100300	CHEMBL4741	Guanine nucleotide-binding protein G(i), alpha-1 subunit	9606	Homo sapiens	SINGLE PROTEIN	P63096	GNAI1	other
100301	CHEMBL4221	Guanine nucleotide-binding protein G(k), alpha-3 subunit	9606	Homo sapiens	SINGLE PROTEIN	P08754	GNAI3	other
100302	CHEMBL4742	Guanine nucleotide-binding protein G(o), alpha subunit 1	9606	Homo sapiens	SINGLE PROTEIN	P09471	GNAO1	other
100304	CHEMBL4860	Apoptosis regulator Bcl-2	9606	Homo sapiens	SINGLE PROTEIN	P10415	BCL2	ion channel
100305	CHEMBL5203	dUTP pyrophosphatase	9606	Homo sapiens	SINGLE PROTEIN	P33316	DUT	other
100308	CHEMBL4384	Beta-1,4-galactosyltransferase 1	9606	Homo sapiens	SINGLE PROTEIN	P15291	B4GALT1	other
100325	CHEMBL4261	Hypoxia-inducible factor 1 alpha	9606	Homo sapiens	SINGLE PROTEIN	Q16665	HIF1A	other
100331	CHEMBL5212	Membrane-associated guanylate kinase-related 3	9606	Homo sapiens	SINGLE PROTEIN	Q5TCQ9	MAGI3	other
100334	CHEMBL5144	Vasoactive intestinal polypeptide receptor 1	9606	Homo sapiens	SINGLE PROTEIN	P32241	VIPR1	other
100335	CHEMBL4532	Vasoactive intestinal polypeptide receptor 2	9606	Homo sapiens	SINGLE PROTEIN	P41587	VIPR2	other
100339	CHEMBL5445	GABA transporter 1	10090	Mus musculus	SINGLE PROTEIN	P31648	SLC6A1	other
100340	CHEMBL5205	GABA transporter 3	10090	Mus musculus	SINGLE PROTEIN	P31649	SLC6A13	other
100341	CHEMBL3699	GABA transporter 4	10090	Mus musculus	SINGLE PROTEIN	P31650	SLC6A11	other
100410	CHEMBL4895	Tyrosine-protein kinase receptor UFO	9606	Homo sapiens	SINGLE PROTEIN	P30530	AXL	kinase
100411	CHEMBL4896	PDZ-binding kinase	9606	Homo sapiens	SINGLE PROTEIN	Q96KB5	PBK	kinase
100412	CHEMBL4897	Serine/threonine-protein kinase PLK3	9606	Homo sapiens	SINGLE PROTEIN	Q9H4B4	PLK3	kinase
100413	CHEMBL4898	Neurotrophic tyrosine kinase receptor type 2	9606	Homo sapiens	SINGLE PROTEIN	Q16620	NTRK2	kinase
100414	CHEMBL4899	Mitogen-activated protein kinase kinase kinase 8	9606	Homo sapiens	SINGLE PROTEIN	P41279	MAP3K8	kinase
100415	CHEMBL4900	Serine/threonine-protein kinase D2	9606	Homo sapiens	SINGLE PROTEIN	Q9BZL6	PRKD2	kinase
100416	CHEMBL4901	Ephrin type-B receptor 3	9606	Homo sapiens	SINGLE PROTEIN	P54753	EPHB3	kinase
100417	CHEMBL4247	ALK tyrosine kinase receptor	9606	Homo sapiens	SINGLE PROTEIN	Q9UM73	ALK	kinase
100418	CHEMBL4246	Tyrosine-protein kinase TEC	9606	Homo sapiens	SINGLE PROTEIN	P42680	TEC	kinase
100419	CHEMBL4362	Tyrosine-protein kinase FGR	10116	Rattus norvegicus	SINGLE PROTEIN	Q6P6U0	FGR	kinase
100420	CHEMBL4363	Tyrosine-protein kinase Lyn	10116	Rattus norvegicus	SINGLE PROTEIN	Q07014	LYN	kinase
100422	CHEMBL4365	Tyrosine-protein kinase CSK	10116	Rattus norvegicus	SINGLE PROTEIN	P32577	CSK	kinase
100423	CHEMBL4366	Protein kinase C epsilon	10090	Mus musculus	SINGLE PROTEIN	P16054	PRKCE	kinase
100424	CHEMBL4367	Tyrosine-protein kinase TXK	9606	Homo sapiens	SINGLE PROTEIN	P42681	TXK	kinase
100426	CHEMBL4908	Trace amine-associated receptor 1	10090	Mus musculus	SINGLE PROTEIN	Q923Y8	TAAR1	other
100427	CHEMBL4909	Prostanoid EP2 receptor	10116	Rattus norvegicus	SINGLE PROTEIN	Q62928	PTGER2	other
100429	CHEMBL4420	Hydroxycarboxylic acid receptor 2	10090	Mus musculus	SINGLE PROTEIN	Q9EP66	HCAR2	other
100429	CHEMBL4420	Hydroxycarboxylic acid receptor 2	10090	Mus musculus	SINGLE PROTEIN	Q9EP66	HCAR3	other
100430	CHEMBL4421	HM74 nicotinic acid GPCR	9606	Homo sapiens	SINGLE PROTEIN	P49019	HCAR3	other
100431	CHEMBL4422	Free fatty acid receptor 1	9606	Homo sapiens	SINGLE PROTEIN	O14842	FFAR1	other
100432	CHEMBL4423	C-C chemokine receptor type 6	9606	Homo sapiens	SINGLE PROTEIN	P51684	CCR6	other
100433	CHEMBL4424	Lysophosphatidic acid receptor Edg-7	10116	Rattus norvegicus	SINGLE PROTEIN	Q8K5E0	LPAR3	other
100434	CHEMBL4594	C-C chemokine receptor type 7	9606	Homo sapiens	SINGLE PROTEIN	P32248	CCR7	other
100435	CHEMBL4595	Lysophosphatidic acid receptor Edg-2	10116	Rattus norvegicus	SINGLE PROTEIN	P61794	LPAR1	other
100436	CHEMBL4596	C-C chemokine receptor type 8	9606	Homo sapiens	SINGLE PROTEIN	P51685	CCR8	other
100444	CHEMBL5255	Toll-like receptor 4	9606	Homo sapiens	SINGLE PROTEIN	O00206	TLR4	other
100445	CHEMBL4460	Serine racemase	9606	Homo sapiens	SINGLE PROTEIN	Q9GZT4	SRR	other
100446	CHEMBL4461	NAD-dependent deacetylase sirtuin 3	9606	Homo sapiens	SINGLE PROTEIN	Q9NTG7	SIRT3	other
100447	CHEMBL4462	NAD-dependent deacetylase sirtuin 2	9606	Homo sapiens	SINGLE PROTEIN	Q8IXJ6	SIRT2	other
100448	CHEMBL4506	NAD-dependent deacetylase sirtuin 1	9606	Homo sapiens	SINGLE PROTEIN	Q96EB6	SIRT1	other
100449	CHEMBL4507	High-affinity choline transporter	9606	Homo sapiens	SINGLE PROTEIN	Q9GZV3	SLC5A7	other
100450	CHEMBL4508	Glutaminyl-peptide cyclotransferase	9606	Homo sapiens	SINGLE PROTEIN	Q16769	QPCT	other
100464	CHEMBL4200	Group X secretory phospholipase A2	10090	Mus musculus	SINGLE PROTEIN	Q9QXX3	PLA2G10	other
100465	CHEMBL4201	Group IIE secretory phospholipase A2	10090	Mus musculus	SINGLE PROTEIN	Q9QUL3	PLA2G2E	other
100467	CHEMBL4360	Monocarboxylate transporter 1	9606	Homo sapiens	SINGLE PROTEIN	P53985	SLC16A1	other
100468	CHEMBL4361	Induced myeloid leukemia cell differentiation protein Mcl-1	9606	Homo sapiens	SINGLE PROTEIN	Q07820	MCL1	other
100473	CHEMBL4520	Dipeptidyl peptidase III	9606	Homo sapiens	SINGLE PROTEIN	Q9NY33	DPP3	other
100474	CHEMBL4521	Cytochrome P450 24A1	9606	Homo sapiens	SINGLE PROTEIN	Q07973	CYP24A1	other
100475	CHEMBL4676	Voltage-gated calcium channel alpha2/delta subunit 1	10090	Mus musculus	SINGLE PROTEIN	O08532	CACNA2D1	other
100476	CHEMBL4677	Apoptosis regulator Bcl-W	9606	Homo sapiens	SINGLE PROTEIN	Q92843	BCL2L2-PABPN1	other
100476	CHEMBL4677	Apoptosis regulator Bcl-W	9606	Homo sapiens	SINGLE PROTEIN	Q92843	BCL2L2	other
100477	CHEMBL4678	Branched-chain-amino-acid transferase	10116	Rattus norvegicus	SINGLE PROTEIN	P54690	BCAT1	other
100478	CHEMBL4679	Branched-chain-amino-acid transferase	9606	Homo sapiens	SINGLE PROTEIN	P54687	BCAT1	other
100479	CHEMBL5133	ADAMTS1	9606	Homo sapiens	SINGLE PROTEIN	Q9UHI8	ADAMTS1	other
100483	CHEMBL4850	Receptor-type tyrosine-protein phosphatase epsilon	9606	Homo sapiens	SINGLE PROTEIN	P23469	PTPRE	other
100485	CHEMBL4162	Protein-tyrosine phosphatase 4A3	9606	Homo sapiens	SINGLE PROTEIN	O75365	PTP4A3	other
100486	CHEMBL4163	Toll-like receptor 2	9606	Homo sapiens	SINGLE PROTEIN	O60603	TLR2	other
100487	CHEMBL4164	Cellular tumor antigen p53	10090	Mus musculus	SINGLE PROTEIN	P02340	TP53	other
100568	CHEMBL4378	Phospholipase A2 group 1B	10090	Mus musculus	SINGLE PROTEIN	Q9Z0Y2	PLA2G1B	other
100569	CHEMBL4379	ADAM17	10090	Mus musculus	SINGLE PROTEIN	Q9Z0F8	ADAM17	other
100571	CHEMBL4535	GABA transporter 2	9606	Homo sapiens	SINGLE PROTEIN	Q9NSD5	SLC6A13	other
100579	CHEMBL3785	Hydroxycarboxylic acid receptor 2	9606	Homo sapiens	SINGLE PROTEIN	Q8TDS4	HCAR2	other
100594	CHEMBL3691	Autotaxin	9606	Homo sapiens	SINGLE PROTEIN	Q13822	ENPP2	other
100595	CHEMBL3692	Receptor-type tyrosine-protein phosphatase eta	9606	Homo sapiens	SINGLE PROTEIN	Q12913	PTPRJ	other
100598	CHEMBL4166	NADP-dependent leukotriene B4 12-hydroxydehydrogenase	10116	Rattus norvegicus	SINGLE PROTEIN	P97584	PTGR1	other
100609	CHEMBL4593	Beta-secretase 1	10090	Mus musculus	SINGLE PROTEIN	P56818	BACE1	other
100610	CHEMBL3490	11-beta-hydroxysteroid dehydrogenase 2	10090	Mus musculus	SINGLE PROTEIN	P51661	HSD11B2	other
100611	CHEMBL3491	Cytochrome P450 2J2	9606	Homo sapiens	SINGLE PROTEIN	P51589	CYP2J2	other
100613	CHEMBL3492	Proteasome Macropain subunit	9606	Homo sapiens	SINGLE PROTEIN	P49721	PSMB2	other
100616	CHEMBL3495	NADP-dependent malic enzyme	9606	Homo sapiens	SINGLE PROTEIN	P48163	ME1	other
100622	CHEMBL4660	Lymphocyte differentiation antigen CD38	9606	Homo sapiens	SINGLE PROTEIN	P28907	CD38	other
100623	CHEMBL4661	Receptor-type tyrosine-protein phosphatase mu	9606	Homo sapiens	SINGLE PROTEIN	P28827	PTPRM	other
100624	CHEMBL4662	Proteasome Macropain subunit MB1	9606	Homo sapiens	SINGLE PROTEIN	P28074	PSMB5	other
100626	CHEMBL4664	Poly [ADP-ribose] polymerase 1	10116	Rattus norvegicus	SINGLE PROTEIN	P27008	PARP1	other
100629	CHEMBL4905	Receptor-type tyrosine-protein phosphatase gamma	9606	Homo sapiens	SINGLE PROTEIN	P23470	PTPRG	other
100630	CHEMBL4205	Voltage-gated potassium channel subunit Kv1.4	9606	Homo sapiens	SINGLE PROTEIN	P22459	KCNA4	ion channel
100633	CHEMBL4208	Proteasome component C5	9606	Homo sapiens	SINGLE PROTEIN	P20618	PSMB1	other
100643	CHEMBL4685	Indoleamine 2,3-dioxygenase	9606	Homo sapiens	SINGLE PROTEIN	P14902	IDO1	other
100650	CHEMBL4915	Galectin-1	9606	Homo sapiens	SINGLE PROTEIN	P09382	LGALS1	other
100659	CHEMBL4692	HLA-DR antigens-associated invariant chain	9606	Homo sapiens	SINGLE PROTEIN	P04233	CD74	other
100666	CHEMBL4698	Malonyl-CoA decarboxylase	9606	Homo sapiens	SINGLE PROTEIN	O95822	MLYCD	other
100671	CHEMBL4098	Cathepsin S	10090	Mus musculus	SINGLE PROTEIN	O70370	CTSS	other
100683	CHEMBL5172	Endo-beta-N-acetylglucosaminidase	9606	Homo sapiens	SINGLE PROTEIN	Q8NFI3	ENGASE	other
100781	CHEMBL5174	Neuropilin-1	9606	Homo sapiens	SINGLE PROTEIN	O14786	NRP1	other
100782	CHEMBL4159	Endoplasmic reticulum-associated amyloid beta-peptide-binding protein	9606	Homo sapiens	SINGLE PROTEIN	Q99714	HSD17B10	other
100783	CHEMBL4160	Cathepsin Z	9606	Homo sapiens	SINGLE PROTEIN	Q9UBR2	CTSZ	other
100784	CHEMBL4326	Fatty acid transport protein 2	9606	Homo sapiens	SINGLE PROTEIN	O14975	SLC27A2	other
100785	CHEMBL4327	Fatty acid transport protein 4	9606	Homo sapiens	SINGLE PROTEIN	Q6P1M0	SLC27A4	other
100786	CHEMBL5196	Fatty acid transport protein 5	9606	Homo sapiens	SINGLE PROTEIN	Q9Y2P5	SLC27A5	other
100787	CHEMBL4328	Betaine--homocysteine S-methyltransferase 1	9606	Homo sapiens	SINGLE PROTEIN	Q93088	BHMT	other
100788	CHEMBL4374	Photoreceptor-specific nuclear receptor	9606	Homo sapiens	SINGLE PROTEIN	Q9Y5X4	NR2E3	nuclear_receptor
100789	CHEMBL4375	Serine/threonine-protein kinase SRPK1	9606	Homo sapiens	SINGLE PROTEIN	Q96SB4	SRPK1	kinase
100790	CHEMBL4376	Dual-specificity tyrosine-phosphorylation regulated kinase 2	9606	Homo sapiens	SINGLE PROTEIN	Q92630	DYRK2	kinase
100791	CHEMBL4377	Guanine nucleotide-binding protein G(s), subunit alpha	9606	Homo sapiens	SINGLE PROTEIN	P63092	GNAS	other
100792	CHEMBL4699	Isoprenylcysteine carboxyl methyltransferase	9606	Homo sapiens	SINGLE PROTEIN	O60725	ICMT	other
100796	CHEMBL4750	Dual-specificity tyrosine-phosphorylation regulated kinase 1A	10090	Mus musculus	SINGLE PROTEIN	Q61214	DYRK1A	kinase
100797	CHEMBL3783	Fatty acid synthase	10116	Rattus norvegicus	SINGLE PROTEIN	P12785	FASN	other
100799	CHEMBL3321	Monoglyceride lipase	10116	Rattus norvegicus	SINGLE PROTEIN	Q8R431	MGLL	other
100800	CHEMBL3322	Prostanoid IP receptor	10116	Rattus norvegicus	SINGLE PROTEIN	P43253	PTGIR	other
100817	CHEMBL2291	G protein-coupled receptor 44	10090	Mus musculus	SINGLE PROTEIN	Q9Z2J6	PTGDR2	other
100818	CHEMBL2211	Serine/threonine-protein kinase Aurora-A	10090	Mus musculus	SINGLE PROTEIN	P97477	AURKA	kinase
100822	CHEMBL3540	G-protein coupled receptor ChemR23	9606	Homo sapiens	SINGLE PROTEIN	Q99788	CMKLR1	other
100824	CHEMBL3542	Serine/threonine-protein kinase NIM1	9606	Homo sapiens	SINGLE PROTEIN	Q8IY84	NIM1K	kinase
100826	CHEMBL3543	Pyrimidinergic receptor P2Y6	10116	Rattus norvegicus	SINGLE PROTEIN	Q63371	P2RY6	other
100827	CHEMBL3544	Orphan nuclear receptor LRH-1	9606	Homo sapiens	SINGLE PROTEIN	O00482	NR5A2	nuclear_receptor
100828	CHEMBL4666	Steroidogenic factor 1	9606	Homo sapiens	SINGLE PROTEIN	Q13285	NR5A1	nuclear_receptor
100830	CHEMBL4667	Group III secretory phopholipase A2	9606	Homo sapiens	SINGLE PROTEIN	Q9NZ20	PLA2G3	other
100833	CHEMBL5198	Mitogen-activated protein kinase 15	9606	Homo sapiens	SINGLE PROTEIN	Q8TD08	MAPK15	kinase
100834	CHEMBL4670	MAP kinase-activated protein kinase 3	9606	Homo sapiens	SINGLE PROTEIN	Q16644	MAPKAPK3	kinase
100835	CHEMBL4718	MAP kinase-interacting serine/threonine-protein kinase MNK1	9606	Homo sapiens	SINGLE PROTEIN	Q9BUB5	MKNK1	kinase
100836	CHEMBL4849	Serine/threonine-protein kinase NEK7	9606	Homo sapiens	SINGLE PROTEIN	Q8TDX7	NEK7	kinase
100845	CHEMBL4516	Serine/threonine-protein kinase MRCK-A	9606	Homo sapiens	SINGLE PROTEIN	Q5VT25	CDC42BPA	kinase
100846	CHEMBL5199	Tyrosine-protein kinase TIE-2	10090	Mus musculus	SINGLE PROTEIN	Q02858	TEK	kinase
100847	CHEMBL4517	Tyrosine-protein kinase FYN	10090	Mus musculus	SINGLE PROTEIN	P39688	FYN	kinase
100848	CHEMBL4518	Purinergic receptor P2Y14	9606	Homo sapiens	SINGLE PROTEIN	Q15391	P2RY14	other
100850	CHEMBL4574	BR serine/threonine-protein kinase 2	9606	Homo sapiens	SINGLE PROTEIN	Q8IWQ3	BRSK2	kinase
100851	CHEMBL4575	Dual-specificity tyrosine-phosphorylation regulated kinase 3	9606	Homo sapiens	SINGLE PROTEIN	O43781	DYRK3	kinase
100852	CHEMBL4576	Homeodomain-interacting protein kinase 2	9606	Homo sapiens	SINGLE PROTEIN	Q9H2X6	HIPK2	kinase
100853	CHEMBL4577	Homeodomain-interacting protein kinase 3	9606	Homo sapiens	SINGLE PROTEIN	Q9H422	HIPK3	kinase
100854	CHEMBL4578	Maternal embryonic leucine zipper kinase	9606	Homo sapiens	SINGLE PROTEIN	Q14680	MELK	kinase
100855	CHEMBL5407	Serine/threonine-protein kinase PIM3	9606	Homo sapiens	SINGLE PROTEIN	Q86V86	PIM3	kinase
100856	CHEMBL5408	Serine/threonine-protein kinase TBK1	9606	Homo sapiens	SINGLE PROTEIN	Q9UHD2	TBK1	kinase
100857	CHEMBL5409	G-protein coupled bile acid receptor 1	9606	Homo sapiens	SINGLE PROTEIN	Q8TDU6	GPBAR1	other
100858	CHEMBL5410	C-C chemokine receptor type 4	10090	Mus musculus	SINGLE PROTEIN	P51680	CCR4	other
100859	CHEMBL5411	Free fatty acid receptor 1	10090	Mus musculus	SINGLE PROTEIN	Q76JU9	FFAR1	other
100860	CHEMBL5412	C-C chemokine receptor type 2	10090	Mus musculus	SINGLE PROTEIN	P51683	CCR2	other
100861	CHEMBL5200	C-X-C chemokine receptor type 3	10090	Mus musculus	SINGLE PROTEIN	O88410	CXCR3	other
100862	CHEMBL5413	Metastin receptor	9606	Homo sapiens	SINGLE PROTEIN	Q969F8	KISS1R	other
100866	CHEMBL5201	Free fatty acid receptor 3	9606	Homo sapiens	SINGLE PROTEIN	O14843	FFAR3	other
100867	CHEMBL5493	Free fatty acid receptor 2	9606	Homo sapiens	SINGLE PROTEIN	O15552	FFAR2	other
100870	CHEMBL5496	P2X purinoceptor 1	10090	Mus musculus	SINGLE PROTEIN	P51576	P2RX1	ion channel
100871	CHEMBL5497	Neuropeptide S receptor	10090	Mus musculus	SINGLE PROTEIN	Q8BZP8	NPSR1	other
100874	CHEMBL3784	Histone acetyltransferase p300	9606	Homo sapiens	SINGLE PROTEIN	Q09472	EP300	other
100875	CHEMBL5500	Histone acetyltransferase PCAF	9606	Homo sapiens	SINGLE PROTEIN	Q92831	KAT2B	other
100876	CHEMBL5501	Histone acetyltransferase GCN5	9606	Homo sapiens	SINGLE PROTEIN	Q92830	KAT2A	other
100877	CHEMBL5523	Histone-lysine N-methyltransferase SETD7	9606	Homo sapiens	SINGLE PROTEIN	Q8WTS6	SETD7	other
100878	CHEMBL5524	Protein-arginine N-methyltransferase 1	9606	Homo sapiens	SINGLE PROTEIN	Q99873	PRMT1	other
100895	CHEMBL5233	Mitogen-activated protein kinase 1	10116	Rattus norvegicus	SINGLE PROTEIN	P63086	MAPK1	kinase
100904	CHEMBL5272	Glycogen debranching enzyme	9606	Homo sapiens	SINGLE PROTEIN	P35573	AGL	other
100906	CHEMBL5274	Tyrosine-protein kinase receptor Tie-1	9606	Homo sapiens	SINGLE PROTEIN	P35590	TIE1	kinase
100907	CHEMBL5275	Bone morphogenetic protein receptor type-1A	9606	Homo sapiens	SINGLE PROTEIN	P36894	BMPR1A	kinase
100908	CHEMBL5310	Activin receptor type-1B	9606	Homo sapiens	SINGLE PROTEIN	P36896	ACVR1B	kinase
100909	CHEMBL5311	Serine/threonine-protein kinase receptor R3	9606	Homo sapiens	SINGLE PROTEIN	P37023	ACVRL1	kinase
100911	CHEMBL5313	Heat shock factor protein 1	10090	Mus musculus	SINGLE PROTEIN	P38532	HSF1	other
100912	CHEMBL5314	Tyrosine-protein kinase receptor TYRO3	9606	Homo sapiens	SINGLE PROTEIN	Q06418	TYRO3	kinase
100913	CHEMBL5315	Peroxiredoxin-1	9606	Homo sapiens	SINGLE PROTEIN	Q06830	PRDX1	other
100914	CHEMBL5316	Serine/threonine-protein kinase PCTAIRE-3	9606	Homo sapiens	SINGLE PROTEIN	Q07002	CDK18	kinase
100916	CHEMBL5318	Apoptosis regulator BAX	9606	Homo sapiens	SINGLE PROTEIN	Q07812	BAX	ion channel
100917	CHEMBL5319	Epithelial discoidin domain-containing receptor 1	9606	Homo sapiens	SINGLE PROTEIN	Q08345	DDR1	kinase
100918	CHEMBL5320	Myotonin-protein kinase	9606	Homo sapiens	SINGLE PROTEIN	Q09013	DMPK	kinase
100925	CHEMBL5358	Eukaryotic translation initiation factor 2-alpha kinase 4	9606	Homo sapiens	SINGLE PROTEIN	Q9P2K8	EIF2AK4	kinase
100927	CHEMBL5360	Fructose-1,6-bisphosphatase 1	10090	Mus musculus	SINGLE PROTEIN	Q9QXD6	FBP1	other
100928	CHEMBL5361	Group IIF secretory phospholipase A2	10090	Mus musculus	SINGLE PROTEIN	Q9QZT4	PLA2G2F	other
100931	CHEMBL5364	Serine/threonine protein kinase NLK	9606	Homo sapiens	SINGLE PROTEIN	Q9UBE8	NLK	kinase
100932	CHEMBL5365	DNA polymerase kappa	9606	Homo sapiens	SINGLE PROTEIN	Q9UBT6	POLK	other
100933	CHEMBL5366	Poly [ADP-ribose] polymerase 2	9606	Homo sapiens	SINGLE PROTEIN	Q9UGN5	PARP2	other
100934	CHEMBL5367	DNA polymerase lambda	9606	Homo sapiens	SINGLE PROTEIN	Q9UGP5	POLL	other
100935	CHEMBL5368	Amiloride-sensitive cation channel 3	9606	Homo sapiens	SINGLE PROTEIN	Q9UHC3	ASIC3	ion channel
100936	CHEMBL5369	Transcription factor AP-1	10090	Mus musculus	SINGLE PROTEIN	P05627	JUN	other
100939	CHEMBL5288	Retinoblastoma-associated protein	9606	Homo sapiens	SINGLE PROTEIN	P06400	RB1	other
100944	CHEMBL5293	Calcitonin gene-related peptide 1	9606	Homo sapiens	SINGLE PROTEIN	P06881	CALCA	other
100945	CHEMBL5294	Forkhead box protein O1	9606	Homo sapiens	SINGLE PROTEIN	Q12778	FOXO1	other
100946	CHEMBL5295	Kinesin heavy chain isoform 5A	9606	Homo sapiens	SINGLE PROTEIN	Q12840	KIF5A	other
100947	CHEMBL5330	Mitogen-activated protein kinase kinase kinase kinase 2	9606	Homo sapiens	SINGLE PROTEIN	Q12851	MAP4K2	kinase
100948	CHEMBL5331	Proto-oncogene tyrosine-protein kinase MER	9606	Homo sapiens	SINGLE PROTEIN	Q12866	MERTK	kinase
100949	CHEMBL5332	Mitogen-activated protein kinase 7	9606	Homo sapiens	SINGLE PROTEIN	Q13164	MAPK7	kinase
100950	CHEMBL5333	Polyadenylate-binding protein 4	9606	Homo sapiens	SINGLE PROTEIN	Q13310	PABPC4	other
100951	CHEMBL5334	Non-receptor tyrosine-protein kinase TNK1	9606	Homo sapiens	SINGLE PROTEIN	Q13470	TNK1	kinase
100952	CHEMBL5335	Baculoviral IAP repeat-containing protein 3	9606	Homo sapiens	SINGLE PROTEIN	Q13489	BIRC3	other
100955	CHEMBL5338	Ectonucleoside triphosphate diphosphohydrolase 8	9606	Homo sapiens	SINGLE PROTEIN	Q5MY95	ENTPD8	other
100956	CHEMBL5339	G-protein coupled receptor 120	9606	Homo sapiens	SINGLE PROTEIN	Q5NUL3	FFAR4	other
100960	CHEMBL5343	Bile acid receptor	10090	Mus musculus	SINGLE PROTEIN	Q60641	NR1H4	nuclear_receptor
100963	CHEMBL5382	RAC-beta serine/threonine-protein kinase	10090	Mus musculus	SINGLE PROTEIN	Q60823	AKT2	kinase
100964	CHEMBL5383	Platelet-activating factor acetylhydrolase	10090	Mus musculus	SINGLE PROTEIN	Q60963	PLA2G7	other
100966	CHEMBL5385	Bcl2 antagonist of cell death	10090	Mus musculus	SINGLE PROTEIN	Q61337	BAD	other
100968	CHEMBL5387	Sonic hedgehog protein	10090	Mus musculus	SINGLE PROTEIN	Q62226	SHH	other
